Chain,Link,Via,Datetime,Summary,Full Content,Rating,summary-processed,full_content-processed,full_content-sentiment,full_content-keywords,district
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,iPhone,2017-03-09 15:07:00,Tình cờ phát hiện trên đường nên ghé thử,Thức uống tạm được. Giá cả cũng được. Phải gửi xe 5k một chiếc dưới hầm. Không gian cũng rộng rãi thoáng mát. Uống xong hết có thể lấy ly đưa nhân viên châm nước lọc để tráng miệng. Ly nước cam đá khá nhiều.,6.0,tình cờ phát hiện trên đường nên ghé thử,thức uống tạm được. giá cả cũng được. phải gửi xe 5k một chiếc dưới hầm. không gian cũng rộng rãi thoáng mát. uống xong hết có thể lấy ly đưa nhân viên châm nước lọc để tráng miệng. ly nước cam đá khá nhiều.,positive,"[('thức uống', 0.1506697977174505), ('thức', 0.18714117306653028), ('uống tạm', 0.2550301042265674), ('tạm', 0.29042310307732233), ('uống', 0.34984538398568593)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,iPhone,2017-03-06 16:28:00,Phúc Long Coffee & Tea House - Golden Plaza,"Bữa nay đi thử chi nhánh mới, cảm nhận thấy khá ưng. Mình đến tối chủ nhật là full hết chỗ ngồi luôn. không gian trong nhà ko rộng lắm, bù lại khu ngoài trời khá rộng rãi thoáng mát. Lối đi từ thang máy ra quán có hình vẽ trang trí, dân sống ảo có thể tha hồ chụp choẹt.

Trà sữa ô long thì mình thấy ko đậm đà, vị trà khá nhạt , nhưng đây có vẻ là tình hình chung rồi vì mình uống ở các chi nhánh khác thấy trà cũng khá nhạt ko còn đậm đà như xưa.",7.2,phúc long coffee tea house golden plaza,bữa nay đi thử chi nhánh mới cảm nhận thấy khá ưng. mình đến tối chủ nhật là full hết chỗ ngồi luôn. không gian trong nhà ko rộng lắm bù lại khu ngoài trời khá rộng rãi thoáng mát. lối đi từ thang máy ra quán có hình vẽ trang trí dân sống ảo có thể tha hồ chụp choẹt. trà sữa ô long thì mình thấy ko đậm đà vị trà khá nhạt nhưng đây có vẻ là tình hình chung rồi vì mình uống ở các chi nhánh khác thấy trà cũng khá nhạt ko còn đậm đà như xưa.,negative,"[('bữa nay', 0.039441081318298224), ('mới cảm', 0.05360127658468334), ('cảm nhận', 0.05360127658468334), ('khá ưng', 0.10622213639723407), ('thử chi', 0.12732229149481752)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,Android,2017-03-02 10:45:00,Phúc Long Coffee & Tea House - Golden Plaza,"Thấy PL mở chi nhánh mới ở gần nhà nên cũng hào hứng lắm, sau này muốn uống ko cần phải đi xa nữa. Từ hôm khai trương đến giờ mình ghé được 2 lần và đều mua mang về, có nhân viên đứng ở ngoài cửa nhận order nên rất tiện. Giá cả cũng giống như mấy chi nhánh khác, nhưng chất lượng chưa ngon lắm, pha hơi lạt ko đậm vị trà. Với lại chắc do nhân viên mới chưa có kinh nghiệm nên khi nhận order quên hỏi tên khách, kết quả là đưa nhầm ly của người khác cho mình (về đến nhà mới phát hiện, cũng là olong sữa nhưng ly đó có ghi tên khách).",7.0,phúc long coffee tea house golden plaza,thấy pl mở chi nhánh mới ở gần nhà nên cũng hào hứng lắm sau này muốn uống ko cần phải đi xa nữa. từ hôm khai trương đến giờ mình ghé được 2 lần và đều mua mang về có nhân viên đứng ở ngoài cửa nhận order nên rất tiện. giá cả cũng giống như mấy chi nhánh khác nhưng chất lượng chưa ngon lắm pha hơi lạt ko đậm vị trà. với lại chắc do nhân viên mới chưa có kinh nghiệm nên khi nhận order quên hỏi tên khách kết quả là đưa nhầm ly của người khác cho mình về đến nhà mới phát hiện cũng là olong sữa nhưng ly đó có ghi tên khách .,negative,"[('hào hứng', 0.06301794989944694), ('muốn uống', 0.06301794989944694), ('cần phải', 0.06301794989944694), ('chi nhánh', 0.12409944825747697), ('hứng lắm', 0.145847088282862)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,Android,2017-03-02 02:17:00,Chắc trụ đây luôn 😂,"Chợt ưng ý cái PL chi nhánh mới. Đêm hôm thèm ko tưởng đc. Hoàn hảo đến lạ từ viên đá đến vị trà ko đắng quá ko chua quá ko ngọt quá mà thanh cực , trái vải cũng ngon lạ , thái độ nv cho đến quản lí , chỗ ngồi hơn hẳn mấy PL hay đi ]]. Cả cái khu WC cũng sang chảnh ( còn mới nên hơi lạnh lẽo 😂 ) ]]",8.0,chắc trụ đây luôn,chợt ưng ý cái pl chi nhánh mới. đêm hôm thèm ko tưởng đc. hoàn hảo đến lạ từ viên đá đến vị trà ko đắng quá ko chua quá ko ngọt quá mà thanh cực trái vải cũng ngon lạ thái độ nv cho đến quản lí chỗ ngồi hơn hẳn mấy pl hay đi . cả cái khu wc cũng sang chảnh còn mới nên hơi lạnh lẽo,positive,"[('chợt ưng', 0.01733887144674913), ('chi nhánh', 0.023955868266003606), ('nhánh mới', 0.04437232174623747), ('chợt', 0.11142684900634581), ('cái khu', 0.1198986971905436)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,Android,2017-03-01 15:00:00,Rộng,"VỊ TRÍ - KHÔNG GIAN: tòa nhà này nằm đối diện với Thuận Kiều plaza khá rộng. Mới khai trương cuối tháng 2 thêm địa điểm ngồi chơi cho dân Q5.11 mà ko cần đi xa

MENU - GIÁ CẢ: trà sữa giá như hầu hết các cửa hàng 30-39k

CHẤT LƯỢNG: mình thấy fa chưa đậm bằng vài chi nhánh ngoài Q3.5 mà mình hay uống nhưng bánh thì ok ngon

PHỤC VỤ: nhân viên đông nhiệt tình",7.8,rộng,vị trí không gian tòa nhà này nằm đối diện với thuận kiều plaza khá rộng. mới khai trương cuối tháng 2 thêm địa điểm ngồi chơi cho dân q5.11 mà ko cần đi xa menu giá cả trà sữa giá như hầu hết các cửa hàng 30 39k chất lượng mình thấy fa chưa đậm bằng vài chi nhánh ngoài q3.5 mà mình hay uống nhưng bánh thì ok ngon phục vụ nhân viên đông nhiệt tình,positive,"[('khá rộng', 0.031720774088870446), ('gian tòa', 0.05190806444071418), ('tòa nhà', 0.05190806444071418), ('nằm đối', 0.05190806444071418), ('đối diện', 0.05190806444071418)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,Android,2017-02-28 21:59:00,Phúc Long Coffee & Tea House - Golden Plaza,"Quán mới khai trương hồi cuối tuần. Mình ghé quán xem có đc gì k. Ai dè chỉ tặng lúc 7h sáng với 6h chiều. Mình order 1 PL cocktail. Làm hơi ngọt, thiếu rượu nên k ngon như chi nhánh ở Now Zone. Chiều 5h30 quay lại thấy mọi người xếp hàng đông quá nên đi luôn :))",6.6,phúc long coffee tea house golden plaza,quán mới khai trương hồi cuối tuần. mình ghé quán xem có đc gì k. ai dè chỉ tặng lúc 7h sáng với 6h chiều. mình order 1 pl cocktail. làm hơi ngọt thiếu rượu nên k ngon như chi nhánh ở now zone. chiều 5h30 quay lại thấy mọi người xếp hàng đông quá nên đi luôn,positive,"[('cuối tuần', 0.059284436303465846), ('mới khai', 0.09490679364814485), ('khai trương', 0.09490679364814485), ('trương hồi', 0.09490679364814485), ('hồi cuối', 0.09490679364814485)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,iPhone,2017-02-27 01:53:00,Phúc Long Coffee & Tea House - Golden Plaza,"Quán mới khai trương thấy có tặng phẩm mình cũng lon ton tìm kiếm, hic, tặng trong khung giờ 7h và 18h mỗi ngày. Quán nằm bên mặt Hồng Bàng nên vòng 1 vòng Nguyễn Trãi thấy tối thui, lanh quanh hết 1 xíu. Chất lượng giá cả như mọi nơi, nhân viên nhiệt tình, nhanh nhẹn",7.8,phúc long coffee tea house golden plaza,quán mới khai trương thấy có tặng phẩm mình cũng lon ton tìm kiếm hic tặng trong khung giờ 7h và 18h mỗi ngày. quán nằm bên mặt hồng bàng nên vòng 1 vòng nguyễn trãi thấy tối thui lanh quanh hết 1 xíu. chất lượng giá cả như mọi nơi nhân viên nhiệt tình nhanh nhẹn,positive,"[('khung giờ', 0.04584903684208581), ('mới khai', 0.07409169283148156), ('khai trương', 0.07409169283148156), ('phẩm mình', 0.07409169283148156), ('lon ton', 0.07409169283148156)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-golden-plaza,iPhone,2017-02-26 09:19:00,Phúc Long Coffee & Tea House - Golden Plaza,"Vị trí: nằm trong toà nhà mới Golden Plaza.
Không gian: khá rộng rãi và bắt ánh sáng, có khu vực ngồi bên trong và bên ngoài. 
Trong 3 ngày khai trương (25, 26, 27/2), khung giờ 7h và 18h mỗi ngày chi nhánh mới giành tặng nhiều phần quà bất ngờ (bốc thăm) cho những vị khách đầu tiên xếp hàng. Riêng mình cảm nhận khách xếp hàng ngay ngắn, nhân viên đếm số lượng và bấm số từng người, mời khách dùng bánh và nước trong lúc chờ đợi, đúng giờ bắt đầu cho khách vào order thức uống, không có tình trạng chen lấn. Thức uống pha chế như các chi nhánh khác. Nhân viên phục vụ tốt, luôn tươi cười với khách. 
Điểm trừ: wifi trên bill chỉ sử dụng trong vòng 30p, tính phí riêng gửi xe dưới hầm (không in phiếu giữ xe miễn phí cho khách PL).",6.8,phúc long coffee tea house golden plaza,vị trí nằm trong toà nhà mới golden plaza. không gian khá rộng rãi và bắt ánh sáng có khu vực ngồi bên trong và bên ngoài. trong 3 ngày khai trương 25 26 27 2 khung giờ 7h và 18h mỗi ngày chi nhánh mới giành tặng nhiều phần quà bất ngờ bốc thăm cho những vị khách đầu tiên xếp hàng. riêng mình cảm nhận khách xếp hàng ngay ngắn nhân viên đếm số lượng và bấm số từng người mời khách dùng bánh và nước trong lúc chờ đợi đúng giờ bắt đầu cho khách vào order thức uống không có tình trạng chen lấn. thức uống pha chế như các chi nhánh khác. nhân viên phục vụ tốt luôn tươi cười với khách. điểm trừ wifi trên bill chỉ sử dụng trong vòng 30p tính phí riêng gửi xe dưới hầm không in phiếu giữ xe miễn phí cho khách pl .,positive,"[('golden plaza', 0.03202052753066924), ('trí nằm', 0.040212133660873395), ('toà nhà', 0.040212133660873395), ('nhà mới', 0.08514041117807944), ('mới golden', 0.08514041117807944)]",Quận 5
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2022-06-15 11:08:00,Nhân viên thái độ,Gọi món kêu ko bỏ ngọt mà thái độ với mình. Ko hiểu nổi 1 thương hieu lớn mà ko biết train nhân viên,1.0,nhân viên thái độ,gọi món kêu ko bỏ ngọt mà thái độ với mình. ko hiểu nổi 1 thương hieu lớn mà ko biết train nhân viên,negative,"[('gọi món', 0.015099935621315529), ('món kêu', 0.02249651976012989), ('gọi', 0.10028582371075691), ('mình', 0.10028582371075691), ('hiểu nổi', 0.11755105063023073)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,Android,2021-05-18 18:24:00,NHÂN VIÊN BẢO VỆ CHỈ KHÁCH RA BÃI XE NGOÀI (ĐỂ ĂN TIỀN?),"Vừa rời khỏi PL chi nhánh này. Khi mới vào thì bảo vệ trông xe chỉ thẳng qua đối diện đường (Quán bún đậu) kêu qua đó gửi xe. Sau khi gửi xong cầm vé xe vô hỏi nhân viên PL thì đựpc trả lời đó là bãi của PL, do hết chỗ nên bảo ceej chỉ sang (dù bảo vệ không hề nói hết chỗ).
Đến khi lấy xe bị tính 10k và anh trai trông xe bảo đây là bãi xe ngoài. OK. 10k không lớn nhưng nó là cái giá cho 1 chi nhánh PL. BYE BYE.",1.0,nhân viên bảo vệ chỉ khách ra bãi xe ngoài để ăn tiền,vừa rời khỏi pl chi nhánh này. khi mới vào thì bảo vệ trông xe chỉ thẳng qua đối diện đường quán bún đậu kêu qua đó gửi xe. sau khi gửi xong cầm vé xe vô hỏi nhân viên pl thì đựpc trả lời đó là bãi của pl do hết chỗ nên bảo ceej chỉ sang dù bảo vệ không hề nói hết chỗ . đến khi lấy xe bị tính 10k và anh trai trông xe bảo đây là bãi xe ngoài. ok. 10k không lớn nhưng nó là cái giá cho 1 chi nhánh pl. bye bye.,negative,"[('vừa rời', 0.024711111070544835), ('rời khỏi', 0.03229347092716298), ('chi nhánh', 0.060141087344584086), ('hết chỗ', 0.08278778980669405), ('bảo', 0.1090583572470901)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2021-02-27 00:36:00,Phúc Bồn Tử Đác Cam,"Nhớ hơn chục lần uống món này ở cn ngay góc NĐK với Saigon Centre cũng không ít tới vậy. Mà không hiểu sao ở đây lại lưng lửng như này 🙃

p/s: Tại sao đường N G Ô Đ Ứ C K Ế ghi full r bấm lưu lại thành *** vậy chời 🙃",2.4,phúc bồn tử đác cam,nhớ hơn chục lần uống món này ở cn ngay góc nđk với saigon centre cũng không ít tới vậy. mà không hiểu sao ở đây lại lưng lửng như này p s tại sao đường n g ô đ ứ c k ế ghi full r bấm lưu lại thành vậy chời,None,"[('nhớ hơn', 0.03726496727872856), ('hơn chục', 0.060655323934520854), ('chục lần', 0.060655323934520854), ('lần uống', 0.060655323934520854), ('uống món', 0.060655323934520854)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,Android,2020-12-13 23:43:00,12.12 lên deal ngon không đặt không được.,"Hôm qua mình order 1 ly trà sữa 1d và 1 ly trà sen hazelnut creamy , đá riêng. Add code giảm 30k. Tổng bill 40k quá tiết kiệm hầu bao luôn nhe.
- ly trà sữa ngon vô đối , đậm đà cân bằng lượng trà lượng sữa và độ ngọt quá ngon luôn.
- trà sen hazelnut creamy thì uống hơi lạ miệng , hương trà hương hazelnut kết hợp với lớp cream cảm nhận riêng là bị loạn vị , không hợp nhau , mình không thích ly này. Lớp cream cũng khá ngán ( chưa được ngon ). Được cái là không bỏ đá nhưng lượng trà sữa đầy ấp miệng ly.",8.0,12.12 lên deal ngon không đặt không được.,hôm qua mình order 1 ly trà sữa 1d và 1 ly trà sen hazelnut creamy đá riêng. add code giảm 30k. tổng bill 40k quá tiết kiệm hầu bao luôn nhe. ly trà sữa ngon vô đối đậm đà cân bằng lượng trà lượng sữa và độ ngọt quá ngon luôn. trà sen hazelnut creamy thì uống hơi lạ miệng hương trà hương hazelnut kết hợp với lớp cream cảm nhận riêng là bị loạn vị không hợp nhau mình không thích ly này. lớp cream cũng khá ngán chưa được ngon . được cái là không bỏ đá nhưng lượng trà sữa đầy ấp miệng ly.,positive,"[('hôm qua', 0.04074549950811853), ('trà', 0.06293246360985076), ('trà sữa', 0.09240196767655172), ('mình order', 0.10159350385743532), ('sen hazelnut', 0.11016893910565474)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,Android,2020-12-01 23:07:00,Xinh xắn,"Đồ uống: mình order trà vải sen và trà nhãn sen size lớn được tặng li size M mình chọn olong sữa. 2 loại trà sen thì ngon, rất thơm còn li olong sữa đắng quá 😢 bị thiếu đường trầm trọng luôn á nhưng mà vẫn ngon nha :))
Hình thức: cái li decor giáng sinh thiệt đáng yêu 🤣
Không gian: quán khá rộng, nhiều tầng nhưng hơi ồn. View ngay ngã tư đẹp, thoáng mát.
Giá cả: 110k cho 3 ly.

@ltbn_16",8.8,xinh xắn,đồ uống mình order trà vải sen và trà nhãn sen size lớn được tặng li size m mình chọn olong sữa. 2 loại trà sen thì ngon rất thơm còn li olong sữa đắng quá bị thiếu đường trầm trọng luôn á nhưng mà vẫn ngon nha hình thức cái li decor giáng sinh thiệt đáng yêu không gian quán khá rộng nhiều tầng nhưng hơi ồn. view ngay ngã tư đẹp thoáng mát. giá cả 110k cho 3 ly. ltbn 16,positive,"[('uống mình', 0.05822068737673601), ('mình order', 0.05822068737673601), ('size lớn', 0.05822068737673601), ('mình chọn', 0.05822068737673601), ('olong sữa', 0.05957234575130264)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,Android,2020-09-14 17:36:00,Ăn sáng bánh mì PL.,"Đặt Now ship về , chứ nắng quá đâm ra lười.
Cũng chưa đến mua trực tiếp không biết cách phục vụ thé nào. Nhưng khi nhận món xong rồi , mở bên trong xem nhân bánh mì kiểm tra xem ntn thì thấy rau hơi èo uột héo queo dù là mới sáng sớm. Topping nhìn cũng không bắt mắt cho lắm , nhìn hơi chán. Chất lượng thì không tệ nhưng phần hình thức không được chu đáo.
Chai trà Olong vị nhạt , mình tưởng sẽ đậm vị trà và thơm trà chứ , ai dè chất lượng thất vọng. Biết trước thà uống nỏn tôm có lý hơn.",7.4,ăn sáng bánh mì pl.,đặt now ship về chứ nắng quá đâm ra lười. cũng chưa đến mua trực tiếp không biết cách phục vụ thé nào. nhưng khi nhận món xong rồi mở bên trong xem nhân bánh mì kiểm tra xem ntn thì thấy rau hơi èo uột héo queo dù là mới sáng sớm. topping nhìn cũng không bắt mắt cho lắm nhìn hơi chán. chất lượng thì không tệ nhưng phần hình thức không được chu đáo. chai trà olong vị nhạt mình tưởng sẽ đậm vị trà và thơm trà chứ ai dè chất lượng thất vọng. biết trước thà uống nỏn tôm có lý hơn.,positive,"[('đặt now', 0.034270942293751605), ('now ship', 0.04672004412535022), ('nắng quá', 0.04672004412535022), ('quá đâm', 0.04672004412535022), ('chứ nắng', 0.13815373011019266)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-08-20 17:25:00,Chi nhánh phúc long tệ nhất,"Đợi nước gần nửa tiếng, dàn nhân viên chậm như rùa bò, chẳng ai vui vẻ nhiệt tình , như *** cần khách. Cashier béo béo thái độ với khách.",1.8,chi nhánh phúc long tệ nhất,đợi nước gần nửa tiếng dàn nhân viên chậm như rùa bò chẳng ai vui vẻ nhiệt tình như cần khách. cashier béo béo thái độ với khách.,negative,"[('đợi nước', 0.036688739802399686), ('nước gần', 0.059748900794225505), ('gần nửa', 0.059748900794225505), ('nửa tiếng', 0.059748900794225505), ('tiếng dàn', 0.059748900794225505)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,Android,2020-08-15 23:40:00,Phúc Long Coffee & Tea -***,"Vị trí: nằm ngay mặt tiền đường*** khá nổi bật. Chú bảo vệ giữ xe rất dễ thương.
Về phục vụ: nhân việt phục vụ ân cần chu đáo.
Quán phòng chống dịch khá tốt, order từ xa, mình quét code phải để điện thoại lên cái đồ di chuyển xong rồi kéo voi kéo ra liên tục khá là lâu. Trong khi một lát mình lấy nước cũng tiếp xúc với bạn giao nước, xong rồi bạn giao nước sẽ tiếp xúc với bạn thu ngân. Vậy làm vậy chi cho mắc công dạ?
Quán rộng 3-4 tầng lận. Nhiều chỗ ngồi có thể ngồi ngoài trời hay máy lạnh đều được
Nước ngon",8.4,phúc long coffee tea,vị trí nằm ngay mặt tiền đường khá nổi bật. chú bảo vệ giữ xe rất dễ thương. về phục vụ nhân việt phục vụ ân cần chu đáo. quán phòng chống dịch khá tốt order từ xa mình quét code phải để điện thoại lên cái đồ di chuyển xong rồi kéo voi kéo ra liên tục khá là lâu. trong khi một lát mình lấy nước cũng tiếp xúc với bạn giao nước xong rồi bạn giao nước sẽ tiếp xúc với bạn thu ngân. vậy làm vậy chi cho mắc công dạ quán rộng 3 4 tầng lận. nhiều chỗ ngồi có thể ngồi ngoài trời hay máy lạnh đều được nước ngon,positive,"[('nổi bật', 0.04387497484033192), ('trí nằm', 0.05948197667652747), ('nằm ngay', 0.05948197667652747), ('ngay mặt', 0.05948197667652747), ('mặt tiền', 0.05948197667652747)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-07-29 20:29:00,Phúc Long Coffee & Tea -***,"Chi nhánh này gần nhà nên đi hoài được nè, view thì chi nhánh nào cũng như nhau nên không có gì để nói 😆😆😆
Nước uống thì cũng như vậy, mình thì bị ghiền trà sữa phúc long và trà đào, lần nào cũng gọi đúng 2 em này 🤣🤣🤣
Nhân viên nhiệt tình 👍🏻👍🏻👍🏻
@t4_eattheworld",7.2,phúc long coffee tea,chi nhánh này gần nhà nên đi hoài được nè view thì chi nhánh nào cũng như nhau nên không có gì để nói nước uống thì cũng như vậy mình thì bị ghiền trà sữa phúc long và trà đào lần nào cũng gọi đúng 2 em này nhân viên nhiệt tình t4 eattheworld,positive,"[('chi nhánh', 0.011365753329244966), ('gọi đúng', 0.013864955290444994), ('nhiệt tình', 0.013864955290444994), ('gần nhà', 0.02069195458091182), ('nói nước', 0.02069195458091182)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-07-24 17:29:00,"Nhân viên ồn ào, nói chuyện riêng rất to.","Thật sự không hiểu quản lí ở đây làm gì khi nhân viên trong giờ làm nói chuyện riêng với nhau rất to, và ồn. Ảnh hưởng đến khách rất nhiều. Mình ngồi lầu 2 nhưng nge hoài v rất khó chịu. Và có một chuyện nhu này xảy ra lúc trước là trời bên ngoài mưa, tại chổ mình ngồi khá lạnh. M có nói nhân viên điều chỉnh máy lạnh được không. Thì bạn đó nói không được, máy lạnh mặc định như vậy rồi :)) . Ủa 🤧 
Nói chung nước ngon ( trừ những lần khách vs ship đông thì nước pha k ngon so vs bthuong ) nhưng nhân viên phục vụ của PL cần nên xem xét lại.",4.4,nhân viên ồn ào nói chuyện riêng rất to.,thật sự không hiểu quản lí ở đây làm gì khi nhân viên trong giờ làm nói chuyện riêng với nhau rất to và ồn. ảnh hưởng đến khách rất nhiều. mình ngồi lầu 2 nhưng nge hoài v rất khó chịu. và có một chuyện nhu này xảy ra lúc trước là trời bên ngoài mưa tại chổ mình ngồi khá lạnh. m có nói nhân viên điều chỉnh máy lạnh được không. thì bạn đó nói không được máy lạnh mặc định như vậy rồi . ủa nói chung nước ngon trừ những lần khách vs ship đông thì nước pha k ngon so vs bthuong nhưng nhân viên phục vụ của pl cần nên xem xét lại.,positive,"[('hiểu quản', 0.05858612388608433), ('ảnh hưởng', 0.05858612388608433), ('nhau rất', 0.11267187682248031), ('chuyện riêng', 0.12942067356955558), ('nhân viên', 0.13062576108743895)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-07-19 23:57:00,Cũng ổn,***công việc trưa nắng nên tấp đại vào quán này thì thấy bánh nước cũng ổn cũng như các chi nhánh khác giá cả cũng vậy - thường thi mình hay đi các chi nhánh ngoài quận 1 hoặc ben vinhome không gian sẽ ok hơn - chi nhánh này minh thấy hơi nhỏ so với mặt bằng chung nên cũng chật chội khó chịu và khá ồn khi ngồi làm việc lâu - máy lạnh thì mở khá lạnh kaka - về nhân viên thi chắc do ít nhân viên mà lượng khách khá đông nên có vẻ nhân viên không niềm nở lắm :),7.0,cũng ổn,công việc trưa nắng nên tấp đại vào quán này thì thấy bánh nước cũng ổn cũng như các chi nhánh khác giá cả cũng vậy thường thi mình hay đi các chi nhánh ngoài quận 1 hoặc ben vinhome không gian sẽ ok hơn chi nhánh này minh thấy hơi nhỏ so với mặt bằng chung nên cũng chật chội khó chịu và khá ồn khi ngồi làm việc lâu máy lạnh thì mở khá lạnh kaka về nhân viên thi chắc do ít nhân viên mà lượng khách khá đông nên có vẻ nhân viên không niềm nở lắm,negative,"[('chi nhánh', 0.004589534553414091), ('nhân viên', 0.005831623754097589), ('hoặc ben', 0.011186666553759276), ('hơn chi', 0.012989991581456504), ('công việc', 0.014379416353278126)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-07-18 14:07:00,Olong sữa & Bánh Nho,"🍇Quán nằm ngay ngã 4 Ng.ô Gi.a Tự và Hò.a Hả.o nên cũng dễ tìm
🍇Chi nhánh này nhỏ, tính ra không gian bị eo hẹp hơn mấy chỗ khác có chỗ ngồi lại. Wifi mạnh
🍇Tự phục vụ là chính, nhân viên có dọn bàn khi khách đi, thấy thái độ không niềm nở lắm. Bên ngoài giữ xe free mà hơi chật nên lúc đông khách thì cũng khó
🍇Các món nước giá cũng giống chỗ khác
- Olong sữa: Trà sữa Olong hơi ngọt, uống cũng được, là trà pha với sữa đặc có đường
- Bánh Nho: Được hâm nóng khi mang lên cho khách, bên trong có nhiều nho khô. Có vẻ ko ngon như chi nhánh khác mình đi ^^",7.2,olong sữa bánh nho,quán nằm ngay ngã 4 ng.ô gi.a tự và hò.a hả.o nên cũng dễ tìm chi nhánh này nhỏ tính ra không gian bị eo hẹp hơn mấy chỗ khác có chỗ ngồi lại. wifi mạnh tự phục vụ là chính nhân viên có dọn bàn khi khách đi thấy thái độ không niềm nở lắm. bên ngoài giữ xe free mà hơi chật nên lúc đông khách thì cũng khó các món nước giá cũng giống chỗ khác olong sữa trà sữa olong hơi ngọt uống cũng được là trà pha với sữa đặc có đường bánh nho được hâm nóng khi mang lên cho khách bên trong có nhiều nho khô. có vẻ ko ngon như chi nhánh khác mình đi,negative,"[('quán nằm', 0.02756971344578628), ('ngay ngã', 0.02756971344578628), ('ng.ô gi.a', 0.02756971344578628), ('ngồi lại', 0.02756971344578628), ('nằm ngay', 0.03596185634546366)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-07-02 15:38:00,không gian tệ,"Quán mặt đường, lại hướng nắng. Không hiểu sao lắp toàn cửa kính mà không có rèm kéo, vào ngồi buổi chiều trúng giờ cao điểm không có bàn phải ngồi gần cửa kính nắng muốn mù con mắt :)))",6.4,không gian tệ,quán mặt đường lại hướng nắng. không hiểu sao lắp toàn cửa kính mà không có rèm kéo vào ngồi buổi chiều trúng giờ cao điểm không có bàn phải ngồi gần cửa kính nắng muốn mù con mắt,negative,"[('quán mặt', 0.02352376366769661), ('mặt đường', 0.03470758133267493), ('đường lại', 0.03470758133267493), ('lại hướng', 0.03470758133267493), ('hướng nắng', 0.06742849407144963)]",Quận 10
Phúc Long,https://www.foody.vn/ho-chi-minh/phuc-long-ngo-gia-tu,iPhone,2020-06-21 21:40:00,Phúc Long Coffee & Tea -***,"Đang km mua 3 tặng 1 ly trên grab nha mn, mình làm thành viên Platium mua thêm 1 ly thành đơn 200k còn được giảm 80k nữa á. Tính ra 152k cho 5 ly, 2 ly sz M 3 ly sz L tính ra có 31k/ly á. 
Mấy bạn để đá riêng để giành uống hoặc rủ đồng bọn mua chung khá là rẻ á. 👍💁‍♀️",8.2,phúc long coffee tea,đang km mua 3 tặng 1 ly trên grab nha mn mình làm thành viên platium mua thêm 1 ly thành đơn 200k còn được giảm 80k nữa á. tính ra 152k cho 5 ly 2 ly sz m 3 ly sz l tính ra có 31k ly á. mấy bạn để đá riêng để giành uống hoặc rủ đồng bọn mua chung khá là rẻ á.,positive,"[('thành đơn', 0.007636826047595199), ('grab nha', 0.008762915628023072), ('viên platium', 0.008762915628023072), ('mấy bạn', 0.008762915628023072), ('giành uống', 0.008762915628023072)]",Quận 10
